"id"|"name"|"description"|"genre"|"image"|"actors"|"country"|"language"|"runtime"|"year"
"1"|"Flirting with Disaster"|"A young man, his wife, and his incompetent case worker travel across country to find his birth parents."|"Comedy"|"http://ia.media-imdb.com/images/M/MV5BMTI5NDY1Nzk1OV5BMl5BanBnXkFtZTcwMDE5OTUyMQ@@._V1_SX300.jpg"|"Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore"|"USA"|"English"|"92 min"|1996
"2"|"Indecent Proposal"|"A Millionaire offers a $1,000,000 to a young married lovely couple for a night with the wife."|"Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjE4MTczNTQyNF5BMl5BanBnXkFtZTcwNjA4Mzk0MQ@@._V1_SX300.jpg"|"Robert Redford, Demi Moore, Woody Harrelson, Seymour Cassel"|"USA"|"English"|"117 min"|1993
"3"|"Runaway Bride"|"A reporter is assigned to write a story about a woman who has left a string of fiances at the altar."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BOTcxMDU2ODc5OV5BMl5BanBnXkFtZTcwNTA0NzMyMQ@@._V1_SX300.jpg"|"Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo"|"USA"|"English"|"116 min"|1999
"4"|"Swiss Family Robinson"|"A Swiss family must survive being shipwrecked on a deserted island."|"Adventure, Family"|"http://ia.media-imdb.com/images/M/MV5BMTI3MjY5NzcwNF5BMl5BanBnXkFtZTYwNTg2MDY5._V1_SX300.jpg"|"John Mills, Dorothy McGuire, James MacArthur, Janet Munro"|"USA"|"English"|"126 min"|1960
"5"|"The Mexican"|"A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways."|"Adventure, Comedy, Crime"|"http://ia.media-imdb.com/images/M/MV5BNDE0NzM4ODIwMV5BMl5BanBnXkFtZTcwNTI1MzEyMQ@@._V1_SX300.jpg"|"Brad Pitt, Julia Roberts, James Gandolfini, J.K. Simmons"|"USA"|"English, Spanish"|"123 min"|2001
"6"|"Maid in Manhattan"|"A senatorial candidate falls for a hotel maid, thinking she is a socialite when he sees her trying on a wealthy woman's dress."|"Comedy, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTczODg2ODI2M15BMl5BanBnXkFtZTYwODIxMDg5._V1_SX300.jpg"|"Jennifer Lopez, Ralph Fiennes, Natasha Richardson, Stanley Tucci"|"USA"|"English, French, Spanish"|"105 min"|2002
"7"|"Brazil"|"A bureaucrat in a retro-future world tries to correct an administrative error and himself becomes an enemy of the state."|"Drama, Sci-Fi"|"http://ia.media-imdb.com/images/M/MV5BMTIwMDQ1NzQyOF5BMl5BanBnXkFtZTcwMTE4MDQzMQ@@._V1._CR3,43,349,456_SY132_CR6,0,89,132_AL_.jpg_V1_SX300.jpg"|"Jonathan Pryce, Robert De Niro, Katherine Helmond, Ian Holm"|"UK"|"English"|"132 min"|1985
"8"|"Forrest Gump"|"Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him."|"Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTI1Nzk1MzQwMV5BMl5BanBnXkFtZTYwODkxOTA5._V1_SX300.jpg"|"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys"|"USA"|"English"|"142 min"|1994
"9"|"It Happened One Night"|"A spoiled heiress, running away from her family, is helped by a man who is actually a reporter in need of a story."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTczOTQ1MTQ4MF5BMl5BanBnXkFtZTcwODI2MDk4OQ@@._V1_SX300.jpg"|"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns"|"USA"|"English"|"105 min"|1934
"10"|"Airplane!"|"A man afraid to fly must ensure that a plane lands safely after the pilots become sick."|"Comedy"|"http://ia.media-imdb.com/images/M/MV5BNDU2MjE4MTcwNl5BMl5BanBnXkFtZTgwNDExOTMxMDE@._V1_SX300.jpg"|"Kareem Abdul-Jabbar, Lloyd Bridges, Peter Graves, Julie Hagerty"|"USA"|"English"|"88 min"|1980
"11"|"The Wedding Planner"|"Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjE3NTc5MzA0Nl5BMl5BanBnXkFtZTYwMTU3ODc5._V1_SX300.jpg"|"Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers"|"Germany, USA"|"English, Italian"|"103 min"|2001
"12"|"A League of Their Own"|"Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry."|"Comedy, Drama, Sport"|"http://ia.media-imdb.com/images/M/MV5BODliMGQ1YzEtM2VhZi00MTU5LTllYTUtY2M3MDdjOTE4OGZlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg"|"Tom Hanks, Geena Davis, Lori Petty, Madonna"|"USA"|"English"|"128 min"|1992
"13"|"Swordfish"|"A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him."|"Action, Crime, Thriller"|"http://ia.media-imdb.com/images/M/MV5BODgwMzc1MjU2MV5BMl5BanBnXkFtZTYwNjY4Nzc5._V1_SX300.jpg"|"John Travolta, Hugh Jackman, Halle Berry, Don Cheadle"|"USA"|"English, German"|"99 min"|2001
"14"|"Indiana Jones and the Temple of Doom"|"A skirmish in Shanghai puts archaeologist Indiana Jones, his partner Short Round and singer Willie Scott crossing paths with an Indian village desperate to reclaim a rock stolen by a secret cult beneath the catacombs of an ancient palace."|"Action, Adventure"|"http://ia.media-imdb.com/images/M/MV5BMTMyNzI4OTA5OV5BMl5BanBnXkFtZTcwMDQ2MjAxNA@@._V1_SX300.jpg"|"Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri"|"USA"|"English, Sinhalese"|"118 min"|1984
"15"|"A Beautiful Mind"|"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."|"Biography, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTQ4MDI2MzkwMl5BMl5BanBnXkFtZTYwMjk0NTA5._V1_SX300.jpg"|"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer"|"USA"|"English"|"135 min"|2001
"16"|"The Sound of Music"|"A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower."|"Biography, Drama, Family"|"http://ia.media-imdb.com/images/M/MV5BMzQwODgzMTc5MF5BMl5BanBnXkFtZTcwNjUzMjE2MQ@@._V1_SX300.jpg"|"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn"|"USA"|"English, German"|"174 min"|1965
"17"|"Kate & Leopold"|"Kate and her actor brother live in N.Y. in the 21st Century. Her ex-boyfriend, Stuart, lives above her apartment. Stuart finds a space near the Brooklyn Bridge where there is a gap in time...."|"Comedy, Fantasy, Romance"|"http://ia.media-imdb.com/images/M/MV5BODU1MzU0OTUwOF5BMl5BanBnXkFtZTYwNjA5NTA5._V1_SX300.jpg"|"Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer"|"USA"|"English, French"|"118 min"|2001
"18"|"A Charlie Brown Christmas"|"Repelled by the commercialism he sees around him, Charlie Brown tries to find the true meaning of Christmas."|"Animation, Comedy, Family"|"http://ia.media-imdb.com/images/M/MV5BMTQ1NDQxNTcxN15BMl5BanBnXkFtZTgwNzY1Njc1MzE@._V1_SX300.jpg"|"Ann Altieri, Chris Doran, Sally Dryer, Bill Melendez"|"USA"|"English"|"25 min"|1965
"19"|"The Rock"|"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco."|"Action, Adventure, Thriller"|"http://ia.media-imdb.com/images/M/MV5BMTM3MTczOTM1OF5BMl5BanBnXkFtZTYwMjc1NDA5._V1_SX300.jpg"|"Sean Connery, Nicolas Cage, Ed Harris, John Spencer"|"USA"|"English"|"136 min"|1996
"20"|"Coming to America"|"An African prince goes to Queens, New York City to find a wife whom he can respect for her intelligence and will."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTYyMzkxNjM5N15BMl5BanBnXkFtZTcwMzI2NTY0MQ@@._V1_SX300.jpg"|"Eddie Murphy, Arsenio Hall, James Earl Jones, John Amos"|"USA"|"English"|"116 min"|1988
"21"|"Better Off Dead"|"A teenager has to deal with his girlfriend dumping him among family crises, homicidal paper boys, and a rival skier."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTI5MjEwNDg3M15BMl5BanBnXkFtZTcwODczNjYyMQ@@._V1_SX300.jpg"|"John Cusack, David Ogden Stiers, Kim Darby, Demian Slade"|"USA"|"English"|"97 min"|1985
"22"|"Mystic River"|"With a childhood tragedy that overshadowed their lives, three men are reunited by circumstance when one has a family tragedy."|"Crime, Drama, Mystery"|"http://ia.media-imdb.com/images/M/MV5BMTIzNDUyMjA4MV5BMl5BanBnXkFtZTYwNDc4ODM3._V1_SX300.jpg"|"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne"|"USA, Australia"|"English"|"138 min"|2003
"23"|"Double Jeopardy"|"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him."|"Crime, Mystery, Thriller"|"http://ia.media-imdb.com/images/M/MV5BMTQ3OTU3MTIyNV5BMl5BanBnXkFtZTcwMDY0NjIyMQ@@._V1_SX300.jpg"|"Tommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau"|"USA, Germany, Canada"|"English"|"105 min"|1999
"24"|"Men in Black"|"A police officer joins a secret organization that polices and monitors extra terrestrial interactions on planet earth."|"Adventure, Comedy, Family"|"http://ia.media-imdb.com/images/M/MV5BNzA2MzI5Nzc0N15BMl5BanBnXkFtZTcwODE2NDU2MQ@@._V1_SX300.jpg"|"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio"|"USA"|"English, Spanish"|"98 min"|1997
