"id"|"name"|"description"|"genre"|"image"|"actors"|"country"|"language"|"runtime"|"year"
1|"Indecent Proposal"|"A Millionaire offers a $1,000,000 to a young married lovely couple for a night with the wife."|"Drama, Romance"|"2.jpg"|"Robert Redford, Demi Moore, Woody Harrelson, Seymour Cassel"|"USA"|"English"|"117 min"|1993
2|"Runaway Bride"|"A reporter is assigned to write a story about a woman who has left a string of fiances at the altar."|"Comedy, Romance"|"3.jpg"|"Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo"|"USA"|"English"|"116 min"|1999
3|"Swiss Family Robinson"|"A Swiss family must survive being shipwrecked on a deserted island."|"Adventure, Family"|"4.jpg"|"John Mills, Dorothy McGuire, James MacArthur, Janet Munro"|"USA"|"English"|"126 min"|1960
4|"The Mexican"|"A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways."|"Adventure, Comedy, Crime"|"5.jpg"|"Brad Pitt, Julia Roberts, James Gandolfini, J.K. Simmons"|"USA"|"English, Spanish"|"123 min"|2001
5|"Maid in Manhattan"|"A senatorial candidate falls for a hotel maid, thinking she is a socialite when he sees her trying on a wealthy woman's dress."|"Comedy, Drama, Romance"|"6.jpg"|"Jennifer Lopez, Ralph Fiennes, Natasha Richardson, Stanley Tucci"|"USA"|"English, French, Spanish"|"105 min"|2002
6|"Brazil"|"A bureaucrat in a retro-future world tries to correct an administrative error and himself becomes an enemy of the state."|"Drama, Sci-Fi"|"7.jpg"|"Jonathan Pryce, Robert De Niro, Katherine Helmond, Ian Holm"|"UK"|"English"|"132 min"|1985
7|"Forrest Gump"|"Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him."|"Drama, Romance"|"8.jpg"|"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys"|"USA"|"English"|"142 min"|1994
8|"It Happened One Night"|"A spoiled heiress, running away from her family, is helped by a man who is actually a reporter in need of a story."|"Comedy, Romance"|"9.jpg"|"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns"|"USA"|"English"|"105 min"|1934
9|"Airplane!"|"A man afraid to fly must ensure that a plane lands safely after the pilots become sick."|"Comedy"|"10.jpg"|"Kareem Abdul-Jabbar, Lloyd Bridges, Peter Graves, Julie Hagerty"|"USA"|"English"|"88 min"|1980
10|"The Wedding Planner"|"Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom."|"Comedy, Romance"|"11.jpg"|"Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers"|"Germany, USA"|"English, Italian"|"103 min"|2001
